date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
198311,4.7353,4.2741,4.3171,2.9241,2.4554,1.9075
198312,-3.1882,-0.4239,0.2055,-0.7589,-1.1349,-0.6913
198401,-4.1567,-0.229,2.0888,-5.3302,0.5847,3.5896
198402,-6.965,-5.0064,-3.5449,-4.777,-4.1422,-1.5333
198403,0.1461,1.4441,2.2646,1.6286,1.589,0.4238
198404,-1.1081,0.0142,-0.0244,0.3973,0.2327,1.7183
198405,-5.9648,-4.8335,-4.285,-4.8224,-4.5671,-5.8762
198406,4.5857,2.1225,1.0123,4.4134,1.5413,2.6706
198407,-5.4642,-2.9661,-3.3285,-0.9786,-1.7684,-2.3933
198408,13.4864,10.2552,9.4739,11.1317,11.2996,11.5043
198409,-2.7498,1.403,2.2213,-2.3711,-0.4706,3.2127
198410,-2.2199,-0.2925,-0.0773,0.7342,0.8787,-0.5118
198411,-4.4941,-0.3537,0.3942,-2.238,-1.2801,1.0015
198412,2.1513,1.6676,2.095,2.683,2.6883,2.2125
198501,15.0004,10.0048,8.8293,10.143,8.1302,5.6178
198502,2.9567,2.8309,1.7902,1.2977,1.6431,2.2635
198503,-3.2404,-1.1527,1.3822,-1.3177,-0.6621,2.2078
198504,-2.0441,0.1227,1.6812,-1.7834,-0.8184,1.936
198505,4.2871,4.068,3.3406,6.1397,7.0411,5.1677
198506,1.5306,2.5552,2.2948,1.4638,1.9081,1.4631
198507,2.713,2.4715,1.1537,0.2217,-0.9461,-1.462
198508,-2.0215,0.0854,0.2922,-1.4907,-0.0969,0.8297
198509,-7.2192,-4.358,-4.142,-3.8632,-2.7279,-4.3669
198510,3.2872,3.7407,3.3782,4.0949,5.342,5.5001
198511,7.7856,7.0462,6.3634,9.0429,6.6351,4.7599
198512,4.8833,4.2109,3.1658,5.7737,3.6032,4.4138
198601,2.3768,1.5146,2.5401,0.8049,0.4672,1.5308
198602,7.2854,7.3213,6.9587,8.0072,8.2751,6.8955
198603,4.1459,5.2527,5.2443,6.255,5.7855,4.3668
198604,2.2826,1.0519,0.4498,0.5808,-1.8171,-3.3166
198605,3.3482,5.371,3.2911,5.4491,5.5183,5.0823
198606,-0.0369,0.9053,1.8141,1.8578,1.1262,2.5744
198607,-10.5776,-8.7108,-5.7929,-7.2455,-5.1365,-2.632
198608,2.243,3.5642,4.4262,4.6183,8.6552,9.4572
198609,-8.1714,-4.7631,-4.6913,-10.181,-7.3139,-7.2174
198610,4.3978,2.8904,1.7426,5.686,5.3335,5.5064
198611,0.0342,-0.6002,0.5165,2.1265,2.0508,1.501
198612,-3.0719,-3.0289,-1.8485,-2.381,-3.0977,-2.8754
198701,12.6452,10.9877,9.2413,13.9515,13.3172,11.0334
198702,9.5106,6.8593,5.094,7.4353,3.5305,0.0263
198703,1.3769,2.8899,3.663,1.6836,2.276,2.6132
198704,-2.6291,-3.0404,-3.6852,-1.7917,-0.984,-1.5187
198705,-0.3112,-0.1412,0.8036,1.3297,-0.1646,0.6845
198706,1.5427,3.2447,3.608,4.6957,5.3585,4.7076
198707,2.1631,3.2665,5.2885,5.5219,3.4924,3.7601
198708,2.8527,3.75,3.0306,4.7692,4.4239,2.7356
198709,-2.5508,-1.2682,-1.3923,-1.9644,-2.2825,-2.5734
198710,-32.4829,-27.8915,-27.8467,-23.2158,-20.3223,-19.38
198711,-6.6107,-3.9087,-3.6438,-8.7104,-7.8394,-5.7749
198712,9.2665,6.9678,4.6334,9.1347,6.4396,4.915
198801,2.2141,4.8636,6.3098,2.0283,5.568,7.9624
198802,8.5114,7.9694,7.0921,5.4343,4.6765,3.4372
198803,3.6385,3.9892,3.2186,-3.128,-3.2442,-1.2442
198804,1.4367,1.9438,2.5857,-0.6415,2.0661,1.5495
198805,-3.0097,-1.7772,-0.2763,0.0176,0.6058,2.1245
198806,7.8072,6.8012,6.2787,4.9039,5.7022,3.9622
198807,-2.3125,-0.3328,0.2536,-1.6413,-0.2281,0.2409
198808,-4.1306,-1.7398,-1.4085,-2.9658,-3.0546,-1.3904
198809,2.6306,3.0843,2.5837,5.103,3.4937,3.6418
198810,-2.0141,-0.1446,0.6314,1.5735,2.6636,3.0263
198811,-3.8315,-2.6187,-2.5909,-1.952,-1.5482,-0.37
198812,4.1019,4.0291,2.8736,2.9015,1.5045,0.7467
198901,4.2075,4.408,5.371,7.0241,6.5824,7.0682
198902,0.4871,0.8628,1.3553,-2.4817,-1.9259,-1.3377
198903,2.4678,2.8726,3.4757,2.4731,1.7194,2.621
198904,4.6182,4.4569,3.8119,6.1177,4.7227,4.084
198905,4.7052,3.6809,3.7753,4.8216,3.5,3.9835
198906,-3.1788,-0.7575,-0.068,-0.9504,-0.4147,0.4305
198907,4.2672,4.1449,3.3676,10.8754,7.1331,6.2049
198908,2.7883,2.7404,2.6094,1.0698,2.9529,2.4445
198909,1.431,-0.0028,-0.7574,0.4919,-0.9288,0.1494
198910,-5.0461,-5.7394,-6.3635,-1.3426,-3.8669,-2.2476
198911,0.7437,0.7299,-0.1227,2.3285,1.7137,1.0186
198912,0.215,-0.4629,-0.2315,1.6916,2.4455,2.4613
199001,-9.2469,-7.7747,-7.8832,-7.6131,-6.2948,-7.2709
199002,3.1973,2.7071,2.2005,0.3535,2.1549,2.6296
199003,4.297,3.9188,2.2333,4.1381,1.4489,0.3616
199004,-2.7212,-3.1601,-4.3624,-0.9445,-3.4355,-4.4877
199005,8.4807,6.6357,4.2531,10.835,8.7192,7.3981
199006,1.0426,0.4492,0,1.2711,-2.4407,-1.5455
199007,-4.5341,-3.5288,-4.3317,-1.3989,0.0264,-1.6679
199008,-14.7389,-12.3678,-11.2747,-9.7878,-7.924,-9.9623
199009,-10.1778,-8.3873,-8.3197,-5.7974,-3.7592,-6.367
199010,-5.963,-5.5088,-6.0758,0.4607,-2.0753,0.7665
199011,8.9656,6.6825,5.0044,7.386,6.8418,5.1477
199012,4.2266,3.6738,2.6959,3.7847,2.4811,1.9115
199101,9.3095,8.3042,7.9073,6.3134,3.2538,4.5144
199102,11.6821,10.3372,11.3068,7.8957,6.4618,7.1044
199103,7.8039,5.3003,6.535,4.1447,1.0879,2.6313
199104,-0.7145,1.3843,1.6752,-0.2734,0.8382,0.3398
199105,4.3206,4.776,2.6841,4.7155,2.946,5.3121
199106,-5.2543,-3.198,-4.1184,-4.8868,-4.3465,-3.7232
199107,4.3325,3.3879,3.0346,5.411,4.0532,4.0615
199108,4.4509,3.0063,4.347,3.3482,1.8036,1.901
199109,1.3208,0.5768,-1.0642,-2.2033,0.0753,-1.9731
199110,3.0458,2.5907,1.7781,1.5117,1.6334,1.8307
199111,-4.8677,-3.685,-5.5897,-2.4929,-4.6013,-5.5511
199112,10.3864,6.7452,7.4219,14.4732,7.72,9.0896
199201,7.4406,7.4819,10.6783,-2.2734,-1.4126,3.9161
199202,0.7335,2.7555,7.1315,0.3247,0.821,6.8765
199203,-6.228,-1.2417,-0.7799,-2.7662,-1.2534,-1.1011
199204,-5.4951,-2.4825,-0.9198,0.1232,4.9427,4.2205
199205,-0.7331,1.0235,2.3897,0.8799,0.4489,0.1317
199206,-6.1368,-3.2396,-2.781,-2.4792,-1.0995,0.6397
199207,2.7042,3.3135,3.7109,4.3501,4.5781,2.2174
199208,-4.2863,-1.4715,-2.7548,-1.1177,-2.1613,-4.858
199209,1.426,2.4973,1.3745,1.617,0.9125,1.1576
199210,4.4956,2.4107,1.9164,2.3858,-0.8402,1.0083
199211,9.573,6.5506,6.8812,4.5935,2.5447,4.5942
199212,2.606,3.6104,5.0863,0.7039,2.0763,3.4616
199301,1.1246,4.1558,6.3608,-1.1051,1.5576,5.531
199302,-6.4782,-0.0652,0.9461,-2.3187,4.0739,3.0909
199303,2.0745,2.8251,3.4111,1.754,3.0636,2.7855
199304,-3.7479,-2.4871,-2.7049,-5.0586,-0.7399,-1.1277
199305,6.6181,3.4308,3.1393,4.0372,2.351,0.6694
199306,0.5431,0.6606,1.4876,-1.0757,1.1626,3.4698
199307,-0.4052,1.6046,2.1185,-1.9939,1.2726,1.174
199308,3.7756,4.7705,3.4149,3.4854,3.9838,4.1084
199309,3.315,2.3534,2.4602,-0.9259,0.6327,-0.688
199310,3.9698,1.641,2.7022,3.2825,-0.0765,-0.9683
199311,-3.1616,-2.8552,-2.4434,0.062,-2.6259,-2.1447
199312,2.7277,3.9524,2.5671,1.4219,1.9158,2.2282
199401,1.8803,2.9469,4.8889,2.4154,4.577,1.6973
199402,-0.9196,0.9023,-1.0985,-1.7641,-3.0804,-4.672
199403,-6.2311,-4.7222,-4.3361,-4.6933,-3.9696,-3.3803
199404,-0.8882,0.7042,1.4197,0.6158,1.7767,1.6366
199405,-2.7048,-1.0815,0.1619,1.4041,1.5369,-0.1128
199406,-4.7152,-2.3809,-1.8241,-3.1128,-1.8992,-2.6651
199407,1.6163,1.1342,2.1612,2.8841,3.9601,3.5012
199408,7.3985,4.8445,3.9547,5.2259,2.9839,3.6475
199409,0.6014,-0.2346,-0.0209,-1.4291,-3.0779,-4.5775
199410,0.4398,-0.05,-1.5464,2.0112,2.7875,0.7504
199411,-3.9575,-3.2047,-3.6845,-3.2106,-3.5149,-4.8823
199412,0.8135,1.5798,1.5471,1.5264,1.237,0.5245
199501,-1.0872,-0.3093,0.8998,2.194,2.459,5.3437
199502,3.5045,3.3654,4.2537,3.8868,3.9271,5.2961
199503,2.9035,1.7243,1.2955,2.9623,3.1772,0.2608
199504,1.0824,2.8031,3.3218,2.3436,2.8189,3.5196
199505,0.8409,1.5866,2.955,3.2689,4.0276,5.7376
199506,7.7813,4.5341,4.3521,3.4656,1.8442,1.8233
199507,8.0404,4.7905,4.8239,3.7632,3.932,3.7455
199508,2.0488,2.6992,3.9387,0.0326,0.874,3.7307
199509,2.4192,2.1131,1.6687,4.506,3.1103,5.1737
199510,-5.5169,-5.2771,-3.8152,0.331,-1.2331,-2.373
199511,3.7295,3.3741,3.7025,4.2415,4.5532,5.2829
199512,2.2051,2.1904,2.2547,0.8634,2.4287,1.2528
199601,0.0325,0.3393,0.6887,3.1042,2.9451,3.212
199602,4.8418,2.3586,2.7796,1.6586,1.3955,1.5535
199603,2.4736,2.6032,2.6298,0.3329,2.0041,0.8853
199604,8.5392,5.1675,4.6315,2.5169,1.7542,-1.6187
199605,6.0161,4.6673,5.3554,3.3798,0.7688,2.376
199606,-6.3904,-2.9786,-2.3838,0.141,-0.69,0.8304
199607,-13.7771,-6.8259,-5.4644,-5.6703,-3.7797,-3.6952
199608,7.0424,4.9914,4.4876,2.1368,3.8503,3.2033
199609,5.3067,2.4659,3.2759,6.6623,4.0671,3.2607
199610,-5.2621,-0.2902,0.9932,0.6781,3.789,4.3024
199611,1.7531,4.4777,3.9288,7.1535,7.3238,7.7482
199612,0.5392,2.5949,2.2704,-1.7155,-1.5427,-0.8256
199701,4.1649,3.219,2.9067,6.5068,4.7004,4.9195
199702,-6.4196,-0.7155,1.2125,0.0212,-0.0144,3.738
199703,-8.4408,-3.865,-1.806,-5.3569,-2.4748,-5.2102
199704,-3.2057,0.6159,-0.4489,6.4759,3.9495,3.855
199705,15.557,10.2569,8.4213,6.9398,5.9044,5.8204
199706,3.2911,5.6404,6.9037,4.3459,3.9275,3.8965
199707,5.0479,5.214,5.5703,7.7392,8.585,7.7277
199708,3.9081,3.3966,3.0223,-5.5037,-3.7395,-2.2565
199709,8.7194,7.8769,8.2867,5.0326,6.0494,6.2052
199710,-6.461,-3.5409,-2.0165,-3.2725,-3.365,-3.1766
199711,-3.445,-1.036,0.5167,5.1146,2.7105,3.5621
199712,-2.2526,0.7737,2.3342,1.2184,2.7801,4.3036
199801,-0.6783,-1.2244,-1.0299,2.5491,-1.9299,-0.3543
199802,8.559,7.3417,7.0923,7.0242,8.2254,6.7943
199803,4.1742,4.9101,4.6827,4.9016,5.1173,7.1641
199804,0.6953,1.4324,2.1415,0.8618,1.8983,1.2991
199805,-7.4586,-5.1838,-2.4278,-2.1842,-2.3898,-0.3432
199806,0.599,-0.4395,-0.1616,5.5655,1.6572,2.4064
199807,-7.7919,-7.2965,-7.4253,-0.84,-2.1666,-4.7627
199808,-24.3741,-18.2644,-18.8106,-13.6291,-18.6322,-12.1245
199809,9.1005,5.1464,3.6424,7.8651,3.2743,6.4886
199810,4.4161,3.7767,3.3328,7.9721,8.3229,4.5867
199811,9.0066,5.9692,5.4904,7.0561,5.6614,4.0667
199812,6.7069,3.5678,2.802,8.2786,2.4758,3.812
199901,3.7326,2.0771,1.0679,4.9923,1.1859,-1.551
199902,-8.8767,-7.3347,-8.4237,-4.4395,-0.904,-1.0443
199903,-0.1892,0.9474,-2.7853,3.9834,4.2758,1.1068
199904,9.0446,10.6925,9.1712,2.2638,7.8684,7.0474
199905,1.8174,1.0419,3.7551,-2.4989,-1.164,0.2561
199906,6.642,5.8396,6.4515,6.5464,2.7282,0.3594
199907,-1.1252,-0.5169,-1.17,-2.9887,-3.7973,-3.8208
199908,-2.7649,-3.0498,-3.4268,0.0456,-3.4353,-3.0357
199909,0.6314,-0.1897,-2.8843,-1.7866,-5.6162,-5.2602
199910,0.9525,-0.4475,-2.7004,6.647,7.5254,3.5624
199911,13.3583,6.4205,4.3349,4.1944,-2.6936,0.9766
199912,18.3003,9.0252,6.6659,8.3424,1.2492,3.3242
200001,1.1975,-0.9354,0.3625,-4.8391,-4.0904,-7.7629
200002,28.0883,15.6498,13.1301,1.2418,-5.4572,-2.9891
200003,-13.484,-4.8054,-1.2043,8.6671,10.7953,12.6437
200004,-14.6459,-5.7927,-4.3476,-4.2256,-0.5153,-0.0027
200005,-7.4689,-5.3605,-4.9489,-3.4721,0.3541,3.4989
200006,17.7779,9.2663,8.5776,4.7732,-4.8059,-2.8696
200007,-7.1352,1.3482,1.8849,-3.0452,3.7998,4.5455
200008,8.796,5.1353,6.671,7.5806,7.93,6.93
200009,-7.2712,-0.573,-0.4569,-5.9659,1.5545,1.5671
200010,-8.4071,-1.3294,-1.5683,-2.0153,-0.2313,2.5737
200011,-16.5288,-4.3038,-2.9313,-10.5537,-3.4093,0.4395
200012,2.7926,8.7299,8.6265,-0.1828,8.9452,9.2058
200101,12.6089,5.0389,6.863,3.4848,1.894,-0.9
200102,-12.4032,-0.6751,0.0022,-11.2013,-0.8604,1.3265
200103,-7.6214,-0.8824,-1.5864,-8.0352,-1.5624,-1.2367
200104,10.1832,5.0033,5.0816,8.9573,4.9486,4.7177
200105,3.8731,4.6138,6.31,0.4381,2.1237,4.7252
200106,6.3064,4.6371,3.1503,-2.2317,-1.0819,-1.3252
200107,-9.3319,-4.5299,-1.089,-1.7118,-1.1436,0.4601
200108,-7.4609,-2.6798,-1.4791,-6.9023,-3.8984,-8.2732
200109,-17.0159,-13.4339,-14.1521,-8.1659,-9.6087,-8.1314
200110,11.118,5.4265,4.4857,3.3534,0.5583,-5.3216
200111,9.0378,7.3094,9.0717,7.8875,6.654,12.2742
200112,6.7106,6.8199,6.689,0.6646,2.9847,2.3635
200201,-5.1916,0.3734,3.3048,-0.9182,-1.6239,-2.5436
200202,-8.1298,-1.2577,-1.0152,-2.3962,0.1967,-5.1829
200203,8.8781,7.6614,9.9117,3.5933,5.5297,4.684
200204,-4.0034,2.3893,4.227,-7.1199,-0.5419,-7.5924
200205,-6.7104,-3.6309,-2.6494,-1.3862,0.4151,-2.3928
200206,-7.0903,-3.2247,-2.4015,-7.4377,-5.9293,-12.2215
200207,-14.9416,-14.5371,-15.3101,-6.4478,-8.7317,-13.7713
200208,-0.433,0.3783,-0.4485,-0.1006,1.7138,6.4683
200209,-8.3652,-7.4921,-7.1005,-10.8017,-10.2357,-9.135
200210,6.6758,4.63,0.54,9.7548,4.3438,7.9856
200211,13.2221,8.3005,7.6826,5.378,5.8461,8.4496
200212,-8.677,-4.6337,-3.583,-6.1715,-3.9938,-6.9949
200301,-2.331,-2.6034,-1.2782,-2.8369,-1.8127,-5.5572
200302,-3.9075,-1.9031,-3.7313,-1.4217,-2.3934,-4.3684
200303,1.7988,0.5505,1.0764,1.5895,0.3344,-1.5555
200304,11.0914,9.3698,9.5335,7.7629,8.7516,11.5916
200305,13.1865,10.8523,10.6693,5.0071,7.3773,8.327
200306,2.4758,2.3886,3.5209,1.3366,1.3129,0.5109
200307,8.2157,5.6878,6.6437,1.7695,2.7525,0.8599
200308,4.9033,4.5309,6.0561,2.126,1.5654,4.0295
200309,-1.6603,-1.9102,0.922,-1.132,-0.5218,-3.3924
200310,8.4031,8.0205,10.7909,5.2059,7.1717,6.751
200311,2.9769,3.661,4.676,0.8079,1.6078,2.661
200312,1.0682,2.5792,3.107,4.6141,4.3907,5.7836
200401,3.8937,3.4793,7.2328,1.4411,2.4336,3.077
200402,0.3743,0.9521,0.2898,1.0861,2.2999,2.9757
200403,1.2919,0.4204,0.4087,-1.8648,-0.7461,-0.4333
200404,-3.3071,-3.2731,-6.0914,-0.2311,-3.7625,-3.6398
200405,1.0241,1.281,0.7002,1.2499,1.2698,1.0769
200406,3.1125,5.0647,4.3401,1.5136,1.559,2.6548
200407,-9.4967,-5.6173,-5.2013,-4.3756,-2.317,-2.1818
200408,-2.2001,-0.2855,-0.6391,-0.282,1.4836,0.1024
200409,5.5244,5.1966,3.6371,0.8519,1.7287,2.7342
200410,2.7869,1.6822,1.2476,1.5958,0.9939,2.6893
200411,8.5101,8.6832,8.7784,3.7051,4.7825,6.2587
200412,4.4048,2.5587,3.7097,3.5207,3.4817,3.7746
200501,-5.3911,-3.2922,-2.663,-3.0957,-1.3806,-1.7037
200502,0.7712,2.0313,2.804,2.1229,2.0273,3.1604
200503,-4.154,-2.455,-1.4772,-1.2856,-2.7057,0.1157
200504,-6.3511,-6.0303,-5.7186,-1.7369,-2.3195,-2.2342
200505,7.498,6.3547,5.7183,3.6683,3.079,4.1685
200506,2.7806,4.0838,4.7555,-0.7926,1.7881,2.8856
200507,6.9998,6.9463,5.9866,4.5699,2.6374,3.9961
200508,-2.2529,-1.1745,-1.2413,-1.2405,-0.8856,0.3806
200509,0.3822,0.9027,0.2636,0.3871,1.1889,1.9333
200510,-3.9638,-2.6603,-2.2453,-1.2382,-1.7791,-2.1076
200511,5.1198,4.6336,4.0298,4.1346,3.77,2.8948
200512,0.0933,-0.3908,-0.323,-0.729,1.2761,0.0853
200601,8.5807,9.2919,8.1654,1.8137,3.6573,4.3913
200602,-0.5483,-0.1086,-0.5208,-0.0917,0.8676,-0.804
200603,4.0319,5.2535,5.3598,1.6908,1.0619,1.5704
200604,-0.5657,1.0125,0.8286,0.0059,2.2492,3.2858
200605,-7.6554,-4.7808,-4.0432,-2.9029,-3.0052,-1.6874
200606,-0.7189,0.4333,0.0187,-0.1141,0.166,0.8541
200607,-5.8879,-2.817,-2.1527,-0.7869,1.1701,0.6862
200608,3.4981,2.5396,2.5223,3.3106,1.9982,0.1641
200609,0.8236,0.8357,1.3171,2.5161,2.3538,2.1895
200610,6.1777,5.2004,4.5665,3.3829,2.9276,4.3813
200611,2.5686,2.7786,2.7404,1.8462,2.1992,1.9554
200612,-0.5996,0.6826,2.0235,0.3481,2.0059,3.1865
200701,2.5527,0.8502,1.9196,1.9159,1.8344,1.1933
200702,-0.1024,-0.0686,-1.0489,-1.9498,-1.5525,-1.2836
200703,1.7726,1.3194,0.3487,0.8422,1.7789,0.333
200704,2.8135,2.0625,0.9535,4.8417,3.6568,3.7988
200705,4.5063,3.6848,3.1037,3.2198,4.0191,3.3277
200706,-0.5887,-1.1976,-1.6191,-1.1139,-2.3413,-2.1834
200707,-4.8084,-5.7884,-8.2207,-1.4022,-4.1777,-5.4141
200708,1.5001,2.4086,-0.6619,1.5856,2.0066,0.0271
200709,2.5885,0.9244,0.0934,4.9638,2.2985,3.0316
200710,3.5844,1.7244,0.1482,3.1527,1.4203,0.6368
200711,-7.5145,-6.6168,-7.9013,-3.1057,-5.5464,-4.5989
200712,0.1682,-0.6225,-0.9297,-0.4386,-0.8883,-0.4388
200801,-8.5654,-6.4944,-3.9366,-7.1977,-4.8299,-3.8873
200802,-4.6707,-2.8373,-3.9608,-2.11,-3.5707,-4.4916
200803,-2.1235,1.1733,0.1903,0.6612,-2.509,-1.0498
200804,4.7454,3.4384,1.5267,3.7378,6.047,5.0753
200805,5.515,5.3912,3.0015,2.3412,0.6904,1.9916
200806,-7.2838,-7.3823,-8.8965,-7.0126,-9.4254,-10.8237
200807,2.2876,2.9111,5.2999,-1.0748,-2.9991,6.751
200808,3.1047,3.8853,7.0479,1.4728,1.0545,0.7139
200809,-11.096,-7.2829,-6.9905,-9.78,-9.8463,-2.057
200810,-22.1126,-19.3548,-20.5932,-15.4972,-17.143,-21.6172
200811,-11.7044,-11.2419,-14.3367,-6.2057,-6.3444,-16.1953
200812,4.9088,4.3191,5.3899,1.7,1.0346,1.5085
200901,-7.8913,-10.1102,-16.0718,-5.3342,-9.2189,-19.7425
200902,-9.8277,-11.4055,-15.0774,-7.9555,-11.9113,-16.6032
200903,9.1856,10.321,11.0487,8.3258,8.7151,13.4126
200904,16.4844,16.6524,18.304,7.9415,10.4615,16.8494
200905,3.8848,3.1539,2.4796,4.5172,6.0893,6.4772
200906,5.4172,1.7451,0.7106,0.8703,-1.0007,0.114
200907,6.9131,10.3276,13.3715,6.7746,8.2384,9.9829
200908,1.0155,3.0144,8.1775,1.7045,3.9404,9.8001
200909,6.3176,5.8375,7.5882,3.4573,4.7055,4.2793
200910,-6.9838,-6.3198,-9.3918,-0.4418,-2.7689,-6.4484
200911,2.0214,1.9394,4.1189,6.6381,4.7671,3.8618
200912,8.4759,8.074,8.368,1.9456,3.1202,1.7169
201001,-3.7834,-3.0201,-2.6952,-4.2125,-2.0265,-4.4504
201002,3.3733,4.1291,7.4667,3.058,2.9082,5.4191
201003,7.016,8.1488,8.9514,5.2329,6.7363,7.7161
201004,3.9334,6.237,9.2912,0.852,2.7427,1.2645
201005,-5.9602,-7.1246,-10.3776,-7.3779,-8.5019,-7.8501
201006,-5.7705,-7.5702,-10.8899,-4.4235,-5.6504,-8.7076
201007,6.7892,6.6916,7.2318,6.7418,7.6803,5.6834
201008,-7.1839,-7.6703,-8.6118,-4.0632,-3.9597,-6.4365
201009,14.0566,12.773,10.9568,10.0755,8.9842,6.851
201010,4.4548,4.2298,3.6404,4.5444,3.8611,0.5078
201011,3.7202,4.1091,3.3312,0.5094,0.3779,-1.0253
201012,7.3101,8.3262,9.4636,4.9391,7.795,10.1774
201101,-0.4753,0.0659,0.3442,2.0293,2.5443,2.8643
201102,5.1047,5.3273,5.6043,2.5012,4.4024,4.5472
201103,3.3477,2.8287,1.4611,0.1939,1.3976,-1.5739
201104,3.2935,2.1076,1.0561,3.7506,2.7078,1.1332
201105,-1.4039,-2.1295,-3.1974,-0.5623,-1.3945,-3
201106,-1.7945,-2.1286,-1.8913,-1.4636,-1.7685,-2.2103
201107,-4.5439,-3.9686,-3.0352,-0.7561,-2.9443,-4.059
201108,-9.3769,-8.8784,-9.7399,-3.9976,-6.4878,-8.3585
201109,-11.1092,-11.4956,-10.8019,-6.3705,-6.9662,-10.1269
201110,15.6782,15.5059,13.1351,9.8325,12.0524,12.5813
201111,-1.8363,-0.2643,-0.1686,-0.0524,0.9022,-2.6363
201112,-0.5702,0.7812,1.1746,-0.1342,1.9194,1.38
201201,8.2691,6.8063,5.8503,5.4881,3.3587,5.9724
201202,3.4368,2.3748,2.9373,4.63,3.6923,5.9852
201203,2.4245,2.8281,3.0831,3.696,1.2495,5.3242
201204,-1.4451,-2.0557,-0.9131,-0.4648,-0.1512,-2.5525
201205,-6.5422,-6.3568,-6.2397,-5.4838,-5.942,-7.9175
201206,5.7104,4.2133,4.7887,2.9353,4.6708,5.0942
201207,-3.3857,-0.8349,-1.7068,1.2935,1.4434,-0.4303
201208,3.2884,3.1319,3.7404,2.3725,1.8713,4.5117
201209,3.2688,3.5064,4.1139,1.9087,3.2017,4.2734
